,link,text,date,No_of_Likes,No_of_tweets
32,https://twitter.com/BabalaTv/status/1696803757432918245#m,🇹🇷,"Aug 30, 2023 · 8:35 AM UTC",1340.0,17.0
33,https://twitter.com/OguzhanUgur/status/1696635330055614466#m,"Bizleri altını çizerek uyardığın zamanlardan geçiyoruz. Okuduk, anladık, farkındayız, buradayız! Sarsılıyoruz ama dimdik ayaktayız. Halen senden medet umanlara da aldırma. Sen yapabileceğinin en iyisini yaptın. Ruhun ferah olsun. Biz seniz! Bu milleti başka zaferlere muhtaç etmeyeceğiz. Huzurla uyuyunuz.  30 Ağustos Zafer Bayramımız Kutlu Olsun…  Dün, bugün, yarın ve DAİMA! 🇹🇷","Aug 29, 2023 · 9:25 PM UTC",35136.0,356.0
34,https://twitter.com/BabalaTv/status/1696549732934385855#m,"Ekspertiz programıyla karşınızdayız! Programımızda estetiğe dair her şeyi, bazen konuklarla bazen tek başına Merve değerlendirecek! https://piped.kavin.rocks/pc6cCBojXPQ?si=goyHqyhW3F8N9AuU","Aug 29, 2023 · 3:45 PM UTC",102.0,10.0
35,https://twitter.com/OguzhanUgur/status/1696073645775282278#m,Linç yemeyeceğim ilk progr….. oh boy 🤦🏻‍♂️ 2. Tanıtım! Buyurunuz. #gain #mevzularaçıkmikrofon   pek yakında @GainMedya da,"Aug 28, 2023 · 8:14 AM UTC",10064.0,359.0
36,https://twitter.com/OguzhanUgur/status/1695861723234734563#m,"Cumhuriyetimizin 100. Yılı için muazzam bir program hazırlıyoruz. Atatürk’ü ve Cumhuriyeti konuşacağız. Türkiye’den ve Avrupa’dan tarihçiler, TSK arşivine hakim emekli komutanlarımız, öğretmenlerimiz ve gençlerimiz salonda olacak. Açılış içinse çok büyük bir sürprizim var. Cumhuriyetimizin kıymetini bilmek ve Atatürk’ü anlamak için! #mevzularaçıkmikrofon #gain","Aug 27, 2023 · 6:11 PM UTC",15124.0,463.0
37,https://twitter.com/OguzhanUgur/status/1694781112642351296#m,Geldim geldim 😅 #mevzularaçıkmikrofon,"Aug 24, 2023 · 6:37 PM UTC",11357.0,343.0
38,https://twitter.com/BabalaTv/status/1693981964578034041#m,Mevzular Açık Mikrofon yeni sezon başlıyor. Dünya vatandaşlığı alan ilk yapay zeka robot Sophia konuğumuz oluyor. Katılmak isteyenler #sorumvar etiketiyle yoruma lütfen 👇🏻#mevzularaçıkmikrofon,"Aug 22, 2023 · 1:42 PM UTC",358.0,74.0
39,https://twitter.com/BabalaTv/status/1692636024344650010#m,"Ekonomi 101, Enflasyonun Konuşulduğu Bölümüyle Yayında…  https://piped.kavin.rocks/hahJgwFKa8o","Aug 18, 2023 · 8:34 PM UTC",106.0,14.0
40,https://twitter.com/OguzhanUgur/status/1692237293988233496#m,Şimdi yayında @BabalaTv @TheBullduck,"Aug 17, 2023 · 6:09 PM UTC",4760.0,35.0
41,https://twitter.com/OguzhanUgur/status/1692257403406848064#m,"Akit tayfa vatan haini dedi yine bana 🥹 Hiç anlamıyorum. Hadi ben vatan hainiyim de, siz nasıl vatansever oluyorsunuz? Gerçekten anlamıyorum.  Bayrak bayrak diye öldünüz, memleketin göbeğine bayrak diktiler, sustunuz. Vatan toprağı dediniz, hilaller, destanlar havada uçuştu, gaza da geldiniz misler gibi. Milyonlar doluştu vatana, sustunuz. Göz göre göre akın ettiler, alayınız alkışladınız. Bunda bir terslik yok mu? İsteyen istediği tercihi yapar, kimsenin cinsel yönelimi kimseyi bağlamaz dedik,  LGBTci yaptınız. İbne bile dediniz. Ancak siz, bu yaz 9 yaşında oğlanlara hallenen adamlarla aynı plajda yüzdünüz, erkek çocuklarına tecavüz eden adamlarla komşu oldunuz. Asıl bunda bi ibnelik yok mu? Soğan 1000₺ olsa da vatana canım feda dediniz, elbette öyle. Sonra o vatanın sokaklarında taciz edildiniz. Taksiciler durmadı size, yabancı müşterilerini aldı. Emlakçılar küçük gördü sizi, pazarlık bile yapmadı -zaten alamazdın da- o yine evi yabancıya sattı. Vatanının parasını kabul etmeyen galerilerde dolar hesapladın sen. Git bir çay iç desem içemezsin, kafenin boş masaları da yabancılara ayırtıldı. Olsun be! Hava bedava. Git parka bir soluklan bi ağaç altında. Aaa pardon… Şu an o parkta yabancılar ucuzluktan faydalanıyorlar, üzerine yapılan beton binalarda. Vatana canın feda öyle mi? Peeeki. Ben hainim. Hainim de, siz mümkün değil vatansever değilsiniz moruks. ☝🏻","Aug 17, 2023 · 7:29 PM UTC",40478.0,1053.0
42,https://twitter.com/OguzhanUgur/status/1692177498178793629#m,Mevzular Açık Mikrofon yeni sezon başlıyor. Dünya vatandaşlığı alan ilk yapay zeka robot Sophia konuğumuz oluyor. Neler soracağınızı ve vereceği cevapları çok merak ediyorum. Katılmak isteyenler #sorumvar etiketiyle yoruma lütfen 👇🏻#mevzularaçıkmikrofon,"Aug 17, 2023 · 2:12 PM UTC",14002.0,1548.0
43,https://twitter.com/OguzhanUgur/status/1691755644032844209#m,"Babala ekibin medarı iftiharı @efehizir ı, eşini ve dünyalar güzeli bebekleri Arven’i Kanada’ya uğurladık. Oralarda da muazzam işer yapacağına eminiz ve elbette çok özleyeceğiz. Kanada’dan takip edenler varsa, Kanada raconunu Efeciğimize öğretsinler. Tokatlamasınlar orada Efemizi","Aug 16, 2023 · 10:15 AM UTC",4564.0,74.0
44,https://twitter.com/BabalaTv/status/1687134217883295744#m,Ekonomiyi öğretmekle kalmayıp size değer katacak program ‘Efe Bulduk’la Ekonomi 101’ Babala Tv’de yayında…  @TheBullduck https://piped.kavin.rocks/LkpT0VFQ5XU,"Aug 3, 2023 · 4:11 PM UTC",193.0,10.0
45,https://twitter.com/OguzhanUgur/status/1684945803968667650#m,"Gezi parkı zamanında binlerce insanın arasına şarkılı türkülü parti otobüsüyle dalmış, kahramanlarınız geldi havalarıyla eylemcilere gülücük saçmışlardı. Amaç şikayeti çözmek değil, şikayetçileri cezbetmekti… Bu da aynı film. Ancak zaman başka… 50 bin insan ölürken vekillik, başkanlık, bakanlık tartışmalarına girdiğinizde anladı millet nihayet.  Seçimin ertesi günü vatandaş seçimi kaybetmenin verdiği bunalımı yaşarken, bazılarınızın güle oynaya kazandığınız vekillikleri kutladınız. Hem de sırıtarak, hem de size oy veren mutsuz insanların gözüne sokarak. Her şey değişir. Siz aynısınız! Takım elbiseleriniz, cümleleriniz, çıkarlarınız, taktikleriniz… yani bütünüyle siz! Artık midemi bulandırıyorsunuz.","Jul 28, 2023 · 3:15 PM UTC",28475.0,1190.0
46,https://twitter.com/BabalaTv/status/1683886484070313991#m,Mesayi 3.Bölümüyle Yayında… https://piped.kavin.rocks/ytQubMMyvOI,"Jul 25, 2023 · 5:06 PM UTC",133.0,19.0
47,https://twitter.com/OguzhanUgur/status/1678817517198798851#m,"An itibarıyla GAİN platformunun yönetim kurulu üyesiyim. Bu unvan beni daha olgun ve yaşlı hissettiriyor ama çok sevdim. BabalaTV son sürat içeriklerine devam ederken, GAİN ile de yeni sezonda sizlere muazzam diziler, pek iddialı filmler ve uzun soluklu içerikler sunmak için kolları sıvadık. Amacımız bu yerli platformun dünyada konuşulan ve takip edilen bir mecra haline gelmesi. Sektörün meşhur alicengiz oyunlarının bize sirayet edemeyeceğini de düşünürsek, ülkemdeki eşsiz yetenekleri dünyayla buluşturmak hiç de zor olmayacaktır diye umuyor, bu küstah iddiamı lokal medyadan, globalin tam göbeğine gönderiyorum. Yapmadığımız şey değil =) Sayenizde elbette. Bize bu haddi verdikleri için çok mutluyum. Artık sınırsız hayallerimizin bir yol arkadaşı var. Heyecanımı hepinizle paylaşmak istedim. Allah utandırmasın. Sanırım şimdi gidip kendime bir takım elbise almalıyım.","Jul 11, 2023 · 5:24 PM UTC",22037.0,674.0
48,https://twitter.com/ibrahimselim/status/1674178220785123333#m,Bayram hediyesi gibi prooram   @OguzhanUgur  bizlerleeeğ  https://piped.kavin.rocks/1hjIUZgl1ZA,"Jun 28, 2023 · 10:09 PM UTC",1155.0,0.0
49,https://twitter.com/BabalaTv/status/1663919353950003210#m,Öğrenci Affı Konusu #mevzularacikmikrofon,"May 31, 2023 · 2:44 PM UTC",636.0,290.0
50,https://twitter.com/BabalaTv/status/1663918866961924096#m,İktisadi ve İdari Bilimler Fakültesi Mezunları Atama Konusu #mevzularacikmikrofon,"May 31, 2023 · 2:42 PM UTC",1673.0,501.0
51,https://twitter.com/BabalaTv/status/1663917075490807820#m,Kardeş kanalımıza abone olabilirsiniz… https://piped.kavin.rocks/@4.17enkaz,"May 31, 2023 · 2:35 PM UTC",349.0,13.0
52,https://twitter.com/OguzhanUgur/status/1662859135145111552#m,"Kafa kafaya giden bir seçim. Umarım liderler ülkenin yarısından oy almanın büyüsüne kapılmak yerine, ülkenin diğer yarısından neden oy alamadıklarına odaklanırlar.","May 28, 2023 · 4:31 PM UTC",264823.0,12483.0
53,https://twitter.com/BabalaTv/status/1662130052404768768#m,Zorunlu Açıklama !,"May 26, 2023 · 4:14 PM UTC",75538.0,2285.0
54,https://twitter.com/OguzhanUgur/status/1662125509667332096#m,KAMUOYUNA ARZ EDERİZ! ⚠️⚠️⚠️ @BabalaTv,"May 26, 2023 · 3:56 PM UTC",271769.0,7839.0
55,https://twitter.com/OguzhanUgur/status/1661440008262148097#m,Mevzular Açık Mikrofon 15. Bölüm yayında 🏹 https://piped.kavin.rocks/EWUEOnTvJjM,"May 24, 2023 · 6:32 PM UTC",82942.0,2644.0
56,https://twitter.com/BabalaTv/status/1661439896001576962#m,Mevzular Açık Mikrofon 15.Bölümüyle Yayında…  İzlemek için; https://piped.kavin.rocks/EWUEOnTvJjM,"May 24, 2023 · 6:31 PM UTC",25727.0,997.0
57,https://twitter.com/OguzhanUgur/status/1661353550176215042#m,"Tüm gelirlerini anket aracılığı ile sizin seçtiğiniz kurumlara bağışladığımız Mevzular Açık Mikrofonu, yine sizler sayesinde 15 Bölümle seçimin sonuna taşıdık. Kazasız, belasız, yalansız, dolansız seçim misyonumuzu tamamladık. Bu esnada 2 adet dünya rekoru kırdık. ABD, Avrupa Birliği Ülkeleri, İngiltere ve Rus basınında manşet olduk. Ayrıca takdirinizle 7 yeni ödüle layık bulunduk. CHP, DEVA, HDP, AK Parti, TİP, GELECEK Partisi, ZAFER Partisi, ATA İTTİFAKI CB Adayı Sinan Oğan, MEMLEKET Partisi ve GENÇ Parti konuğumuzdu, onlara soru sormak içinse toplamda 8250 genç misafirimiz oldu. İcabet eden tüm siyasilerimizi cesaretlerinden dolayı kutluyor, duyarsız kalmayıp soru sormak için salonumuzu dolduran gençlere teşekkür ediyoruz. Ben de şahsım adına bu süreçte canla başla çalışan canım ekibime ve bizi yalnız bırakmayan gazetecilerimize şükranlarımı sunuyorum. Elbette M.A.M. tüm hızıyla devam edecek, fakat nihayet seçim meselesi konusunu amacımıza ulaştığımızı düşünerek BU AKŞAM yayınlanacak olan 15. Bölümle kapatıyoruz. Hatamız olduysa affola. En yakın zamanda, 15 Bölüme yayılan siyasilerle değil, tek bölümde aynı anda ağırlayabildiğimiz 15 siyasi konuk umuduyla saygılar sunuyor, bizi izlediğiniz için teşekkür ediyoruz.","May 24, 2023 · 12:48 PM UTC",12829.0,297.0
58,https://twitter.com/OguzhanUgur/status/1661010197496885250#m,Bu da youtube 👉🏻 https://piped.kavin.rocks/Q8rjsfTxbdI,"May 23, 2023 · 2:04 PM UTC",10339.0,341.0
59,https://twitter.com/OguzhanUgur/status/1661001845232521218#m,M.A.M 15. Bölüm Uzun Tanıtım. Konuk Türkiye 13. Cumhurbaşkanı Adayı Sn. Kemal Kılıçdaroğlu. Programın tamamı yarın akşam 21.30'da BabalaTV'de #babalatv #mevzularaçıkmikrofon,"May 23, 2023 · 1:31 PM UTC",205909.0,5178.0
60,https://twitter.com/OguzhanUgur/status/1660987216376496129#m,"M.A.M. Tarihinin en uzun tanıtım videosu 15. Bölüm için geliyor. 16.30da yayında. Tam 16 dakika. Sorulara ve tanıtıma bakıyorum da… Sn. Kemal Kılıçdaroğlu’nu cesaretinden dolayı yürekten tebrik etmek lazım. Elbette dünya için normal, fakat bizim için büyük bir cesaret örneğidir yaptığı. Tanıtımda yalnızca sorular var bildiğiniz gibi, cevaplar için ana bölümü yani Çarşambayı bekleyiniz.","May 23, 2023 · 12:33 PM UTC",113184.0,1964.0
61,https://twitter.com/OguzhanUgur/status/1660923449127182336#m,"Baaazı basının yalan ve çirkin başlıkları yüzünden, dünden beri şahsıma ve hatta aileme küçük bir tayfa tarafından ağır hakaretler edilmektedir. Programa katılan bir genç “Oğuzhan Uğur beni ve ailemi hedef gösterdi! Can güvenliğim yok!” gibi yalan açıklamalarda bulunduğu için. Hatta Melih Gökçek de konuyu sahiplenip, benden bu genç adına hesap sormak istedi. Sonrasında paralı hesapların ve baaaaazı basının da desteğiyle olayın bokunu çıkarttılar afedersiniz. Bakın aslında o gence nasıl davranmışım. İzleyiniz. Bu diyalogtan sonra yanına da gittim, tatlı tatlı konuştum. Canlı yayınıno açmamış, özür de diledim. Tamamını ana bölümde izleyeceksiniz. Ne bir yerde adını geçirdim, ne de hedef gösterdim. Tivitlerim aşağıda, bakınız. Yalanlarının reytingi büyüyünce, hakkım olan yanıtı verip “yalan söylüyorlar, inanmayın dedim” Bu mu hedef göstermek? Teessüf ederim =) Video kesilmemiştir. Yine saf saf açıklama yapmışım videoda bir ton. Peh… Haa evet, elbette hukuk önünde hesap soracağız.","May 23, 2023 · 8:19 AM UTC",112487.0,2762.0
62,https://twitter.com/OguzhanUgur/status/1660800943468732418#m,"Bir’i bir’e, bizi bize bölemezsiniz. Elbette deneyeceksiniz… Deneyin. Sonuç yine bir, sonuç yine biz çıkar. 🇹🇷","May 23, 2023 · 12:12 AM UTC",114020.0,1366.0
63,https://twitter.com/BabalaTv/status/1659580866178195457#m,"Mevzular Açık Mikrofon’da soru sormak isterseniz bu postun altına #sorumvar yazın ve ekip arkadaşlarımız size ulaşsın.  -Mevzular Açık Mikrofon 15. Bölüm Cumhurbaşkanı Adayı Kemal Kılıçdaroğlu’nun katılımıyla gerçekleşecektir.  -Format gereği programa soru sormak için gelen misafirlerimiz karşıt görüşlü olmak zorundadır.  -Kemal Kılıçdaroğlunu savunan veya sorusu olmayan programa katılamaz.  -Listede ismi bulunmayan salona kesinlikle alınmayacaktır.  -Profillerinizin Açık Olması Gerekmektedir.  -Tarih, Konum ve Saat bilgisi paylaşılacaktır.","May 19, 2023 · 3:24 PM UTC",40868.0,21262.0
64,https://twitter.com/BabalaTv/status/1659482449385070592#m,Kutlu Olsun… 🇹🇷,"May 19, 2023 · 8:53 AM UTC",3426.0,19.0
65,https://twitter.com/OguzhanUgur/status/1659303814292283395#m,"Dün, bugün, yarın ve daima… 🇹🇷 #19Mayıs1919","May 18, 2023 · 9:03 PM UTC",68362.0,624.0
